ticker,nome,settore,prezzo,valore_intrinseco,sconto,qualita_ok,rischio,investment_score,quality_score_detailed,pe_ratio,roe,debito_equity,raccomandazione
SONY,Sony Group Corporation,Technology,28.99,206.26067372112215,85.94496979138331,True,Medio,95.0,5,22.648438,0.1444,18.764,FORTE ACQUISTO 🚀
TM,Toyota Motor Corporation,Consumer Cyclical,211.24,1149.2941056035222,81.62002232761189,True,Medio,95.0,5,9.950071,0.11652,103.922,FORTE ACQUISTO 🚀
HMC,"Honda Motor Co., Ltd.",Consumer Cyclical,31.93,428.03812184196863,92.54038405210353,True,Medio,95.0,3,11.322696,0.054629996,98.423,FORTE ACQUISTO 🚀
CMCSA,Comcast Corporation,Communication Services,29.28,59.609799949337194,50.880559866187625,True,Medio,95.0,6,4.8557215,0.24919,104.176,FORTE ACQUISTO 🚀
VALE,Vale S.A.,Basic Materials,11.62,37.110933698844065,68.68847306754252,True,Medio,95.0,5,9.52459,0.12837,50.133,FORTE ACQUISTO 🚀
GM,General Motors Company,Consumer Cyclical,69.87,91.58278222460814,23.708367115728382,True,Medio,92.41673423145676,3,13.333971,0.04442,195.437,FORTE ACQUISTO 🚀
SNY,Sanofi,Healthcare,51.06,65.78712386599676,22.386027843373668,True,Medio,89.77205568674734,6,16.740984,0.08835,29.585,FORTE ACQUISTO 🚀
T,AT&T Inc.,Communication Services,25.7,32.797941627486324,21.641424050641923,True,Medio,88.28284810128385,7,8.371336,0.19139999,123.112,FORTE ACQUISTO 🚀
CHTR,"Charter Communications, Inc.",Communication Services,248.88,312.3505982065666,20.32030627474311,True,Medio,85.64061254948622,5,6.811166,0.32652,472.717,FORTE ACQUISTO 🚀
F,Ford Motor Company,Consumer Cyclical,13.13,17.694901808148018,25.797836335243208,True,Alto,85.0,4,11.222222,0.10295,346.673,FORTE ACQUISTO 🚀
VZ,Verizon Communications Inc.,Communication Services,39.32,48.63082355872662,19.145930250354205,True,Medio,83.29186050070841,5,9.144186,0.18454,167.439,FORTE ACQUISTO 🚀
PFE,Pfizer Inc.,Healthcare,24.5,29.621710849054615,17.29039512658019,True,Medio,79.58079025316039,6,12.962963,0.12168,69.703,ACQUISTA ✅
C,Citigroup Inc.,Financial Services,101.39,130.08839999999998,22.0606910377866,False,Basso,64.1213820755732,4,14.240169,0.06995,,ACQUISTA ✅
COP,ConocoPhillips,Energy,86.79,93.87470745626854,7.546982193866157,True,Medio,60.09396438773231,7,11.634048,0.1593,35.883,ACQUISTA ✅
TD,The Toronto-Dominion Bank,Financial Services,82.72,85.77839999999999,3.565466364492684,True,Basso,57.13093272898537,6,9.906587,0.17633,,EVITA ❌
EOG,"EOG Resources, Inc.",Energy,105.9,111.4551983982802,4.984243425263075,True,Medio,54.96848685052615,8,10.271581,0.19631,15.719,EVITA ❌
RIO,Rio Tinto Group,Basic Materials,71.99,71.16710757084344,-1.156281964020251,True,Medio,42.687436071959496,8,11.463375,0.17158002,38.149,EVITA ❌
DHI,"D.R. Horton, Inc.",Consumer Cyclical,153.75,144.78809498712246,-6.189669816205963,True,Medio,32.62066036758807,7,13.277203,0.16098,29.937,EVITA ❌
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,654.48,608.8504121492507,-7.494383996501902,True,Medio,30.011232006996195,6,15.698729,0.15188,8.739,EVITA ❌
BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,61.81,57.03926279327249,-8.363953131754354,True,Medio,28.272093736491293,4,17.66,0.09685001,82.96,EVITA ❌
BAC,Bank of America Corporation,Financial Services,52.87,45.541199999999996,-16.09268091310726,True,Basso,17.814638173785482,5,14.445354,0.09871,,EVITA ❌
SLB,SLB N.V.,Energy,35.86,31.500428568513158,-13.839721012064366,True,Medio,17.320557975871267,6,13.953308,0.15182,47.459,EVITA ❌
ING,ING Groep N.V.,Financial Services,24.25,20.8308,-16.4141559613649,True,Basso,17.171688077270197,5,10.497836,0.092989996,,EVITA ❌
FDX,FedEx Corporation,Industrials,249.55,212.59266579541261,-17.384105922145537,True,Basso,15.231788155708927,7,14.619215,0.15004,,EVITA ❌
XOM,Exxon Mobil Corporation,Energy,115.03,98.77574601085026,-16.455713720819944,True,Medio,12.088572558360113,5,16.339489,0.118310004,14.442,EVITA ❌
CI,The Cigna Group,Healthcare,308.41,260.67785450300147,-18.31077886842473,True,Medio,8.37844226315054,3,16.917719,0.13182999,76.102,EVITA ❌
NEM,Newmont Corporation,Basic Materials,79.34,66.31723248899941,-19.637079266178347,True,Medio,5.725841467643306,8,12.339036,0.22875999,16.914,EVITA ❌
TGT,Target Corporation,Consumer Defensive,97.11,80.93918550368542,-19.97896864872487,True,Medio,5.042062702550261,4,11.318182,0.26319,132.309,EVITA ❌
COF,Capital One Financial Corporation,Financial Services,220.99,204.636,-7.991751207021254,False,Basso,4.016497585957492,2,75.6815,0.01615,,EVITA ❌
SAN,"Banco Santander, S.A.",Financial Services,10.06,7.9536,-26.483604908469133,True,Basso,-2.967209816938265,7,10.589475,0.13605,,EVITA ❌
AEP,"American Electric Power Company, Inc.",Utilities,115.11,92.53139886006262,-24.401015674780314,True,Medio,-3.802031349560629,5,16.903084,0.13013,150.555,EVITA ❌
DIS,The Walt Disney Company,Communication Services,111.65,93.37449517935826,-19.572266265576342,True,Alto,-4.144532531152684,4,17.5,0.1146,37.152,EVITA ❌
OXY,Occidental Petroleum Corporation,Energy,40.83,32.649490807668045,-25.055549075854756,True,Medio,-5.111098151709513,4,24.017647,0.071100004,66.823,EVITA ❌
