ticker,nome,settore,prezzo,valore_intrinseco,sconto,qualita_ok,rischio,pe_ratio,roe,debito_equity,raccomandazione
AAPL,Apple Inc.,Technology,269.0,28.733627278548123,-836.1853183110971,True,Medio,40.819424,1.49814,154.486,EVITA
MSFT,Microsoft Corporation,Technology,542.07,137.04217309463536,-295.5497696505951,True,Medio,39.683018,0.33280998,32.661,EVITA
GOOGL,Alphabet Inc.,Communication Services,267.47,79.50576064034605,-236.41587458037537,True,Medio,28.545359,0.34829,11.481,EVITA
AMZN,"Amazon.com, Inc.",Consumer Cyclical,229.25,67.9816416394897,-237.22339512735675,True,Medio,34.946648,0.2477,47.808,EVITA
META,"Meta Platforms, Inc.",Communication Services,751.44,219.26603293716062,-242.70698016201854,True,Medio,27.265602,0.40647998,25.406,EVITA
NVDA,NVIDIA Corporation,Technology,201.03,20.696765372274964,-871.3111995234597,True,Alto,57.43714,1.09417,10.584,EVITA
TSLA,"Tesla, Inc.",Consumer Cyclical,460.55,28.015928505048695,-1543.8862624774517,True,Alto,317.62067,0.06791,17.082,EVITA
AVGO,Broadcom Inc.,Technology,372.97,83.00712009031213,-349.3229009682627,True,Alto,95.38875,0.27083,166.032,EVITA
ADBE,Adobe Inc.,Technology,359.91,111.79641306308893,-221.93340567813715,True,Alto,22.452276,0.52875,56.542,EVITA
CRM,"Salesforce, Inc.",Technology,254.26,114.57658026566772,-121.91271498106293,True,Medio,37.01019,0.11201999,19.255,EVITA
CSCO,"Cisco Systems, Inc.",Technology,72.62,29.959406489239733,-142.39465500120076,True,Medio,28.478434,0.22059,63.282,EVITA
INTC,Intel Corporation,Technology,41.53,3.8814945575126085,-969.948685606655,True,Alto,1384.3334,0.0018600001,39.881,EVITA
ORCL,Oracle Corporation,Technology,280.83,28.233502964622545,-894.6693485108408,True,Alto,64.85681,0.69241995,452.534,EVITA
IBM,International Business Machines Corporation,Technology,312.57,75.06996786332068,-316.3715649500394,True,Medio,37.255066,0.30156,237.831,EVITA
QCOM,QUALCOMM Incorporated,Technology,181.03,87.96592806166485,-105.79558925712288,True,Alto,17.473938,0.44615,54.35,EVITA
TXN,Texas Instruments Incorporated,Technology,166.91,47.86714203548923,-248.69430866846213,True,Medio,30.402552,0.29757,84.477,EVITA
AMD,"Advanced Micro Devices, Inc.",Technology,258.01,42.62638700822531,-505.28235702972813,True,Alto,155.42772,0.04699,6.513,EVITA
NOW,"ServiceNow, Inc.",Technology,937.91,111.63375850297257,-740.1670001776617,True,Medio,117.9761,0.16951,22.036,EVITA
UBER,"Uber Technologies, Inc.",Technology,95.43,43.491293742972275,-119.42322655191298,True,Alto,16.25724,0.67485,52.23,EVITA
SHOP,Shopify Inc.,Technology,178.96,22.355760415382875,-700.509562970887,True,Alto,99.422226,0.22023001,9.395,EVITA
PANW,"Palo Alto Networks, Inc.",Technology,221.38,14.894078580525719,-1386.362508449891,True,Medio,137.50311,0.17452998,5.335,EVITA
MSI,"Motorola Solutions, Inc.",Technology,440.21,66.1005032124378,-565.9707242851487,True,Medio,35.415123,1.51517,419.96,EVITA
JPM,JPMorgan Chase & Co.,Financial Services,305.36,149.952,-103.63849765258217,True,Basso,15.116831,0.16437,,EVITA
BAC,Bank of America Corporation,Financial Services,52.87,45.541199999999996,-16.09268091310726,True,Basso,14.445354,0.09871,,EVITA
WFC,Wells Fargo & Company,Financial Services,86.9,62.70479999999999,-38.58588178257489,True,Basso,14.31631,0.115200005,,EVITA
GS,"The Goldman Sachs Group, Inc.",Financial Services,792.09,412.5048,-92.01958377211612,True,Medio,16.092848,0.13573,524.194,EVITA
MS,Morgan Stanley,Financial Services,165.21,73.9044,-123.5455534447205,False,Medio,16.944616,,438.541,EVITA
SCHW,The Charles Schwab Corporation,Financial Services,93.85,28.232400000000002,-232.41948966435723,False,Medio,21.978922,,111.866,EVITA
BLK,"BlackRock, Inc.",Financial Services,1124.95,381.05879999999996,-195.216906157265,False,Medio,28.993555,,28.507,EVITA
C,Citigroup Inc.,Financial Services,101.39,130.08839999999998,22.0606910377866,False,Basso,14.240169,0.06995,,INVESTIGA
AXP,American Express Company,Financial Services,361.03,56.4588,-539.4574450749927,True,Medio,24.230202,0.33935001,185.273,EVITA
V,Visa Inc.,Financial Services,346.9,23.499599999999997,-1376.1953394951406,True,Medio,33.91007,0.51755,65.017,EVITA
MA,Mastercard Incorporated,Financial Services,565.93,10.401599999999998,-5340.797569604676,True,Medio,38.18691,1.7694701,240.919,EVITA
PYPL,"PayPal Holdings, Inc.",Financial Services,73.02,25.2516,-189.16979518129546,True,Medio,15.635973,0.22923,60.254,EVITA
COF,Capital One Financial Corporation,Financial Services,220.99,204.636,-7.991751207021254,False,Basso,75.42321,0.01615,,EVITA
RY,Royal Bank of Canada,Financial Services,149.05,105.96,-40.66628916572294,True,Basso,15.789196,0.14729,,EVITA
TD,The Toronto-Dominion Bank,Financial Services,82.72,85.77839999999999,3.565466364492684,True,Basso,9.918466,0.17633,,EVITA
BX,Blackstone Inc.,Financial Services,151.69,12.866399999999999,-1078.962258285146,True,Alto,43.58908,0.26457,60.337,EVITA
KKR,KKR & Co. Inc.,Financial Services,120.61,34.5828,-248.75718565298354,True,Alto,56.891514,0.07503,76.715,EVITA
SPGI,S&P Global Inc.,Financial Services,493.68,131.24159999999998,-276.1612171750421,True,Medio,37.946194,0.11291,31.651,EVITA
JNJ,Johnson & Johnson,Healthcare,186.93,100.73194327800144,-85.57172026762946,True,Medio,18.060867,0.33619,57.766,EVITA
UNH,UnitedHealth Group Incorporated,Healthcare,367.84,192.14775977062237,-91.43600760118741,True,Medio,15.930706,0.21653,75.577,EVITA
LLY,Eli Lilly and Company,Healthcare,820.1,96.28123466406888,-751.7755332712331,True,Medio,53.636364,0.86291003,217.891,EVITA
PFE,Pfizer Inc.,Healthcare,24.5,29.621710849054615,17.29039512658019,True,Medio,12.962963,0.12168,69.703,ACQUISTA
TMO,Thermo Fisher Scientific Inc.,Healthcare,557.63,230.43423499197118,-141.99095243787409,True,Medio,32.21433,0.13116999,69.752,EVITA
MRK,"Merck & Co., Inc.",Healthcare,87.03,43.94547095145643,-98.04088593369752,True,Medio,13.409862,0.35421002,72.161,EVITA
