ticker,prezzo,valore_graham,sconto
AAPL,269.0,25.632138517884144,-949.4637418267398
MSFT,542.07,119.16710703881337,-354.8822350981844
GOOGL,267.47,79.50576064034605,-236.41587458037537
AMZN,229.25,67.9816416394897,-237.22339512735675
TSLA,460.55,28.015928505048695,-1543.8862624774517
NVDA,201.03,17.9971872802391,-1017.0078794519787
META,751.44,219.26603293716062,-242.70698016201854
JNJ,186.925,87.59299415478387,-113.40177008869968
JPM,305.52,238.3155890830476,-28.199754441381998
XOM,115.05,98.77574601085026,-16.47596160636646
V,347.26,67.13804454256916,-417.23281839079823
WMT,103.17,25.955786927003388,-297.483614309786
PG,151.36,58.80196680384084,-157.40635598963237
KO,70.1875,22.215329167041393,-215.94175117661547
PEP,150.12,40.978764622667676,-266.33608011931165
AVGO,372.97,72.18010442635838,-416.72133611350193
LLY,820.4,83.72281275136424,-879.9001885380777
UNH,367.8,233.18902884784268,-57.72611679771258
HD,385.82,59.582990861486635,-547.5337918113592
MA,565.945,53.76192518874301,-952.6873768250043
BAC,52.86,55.904068277720185,5.445164138319712
CSCO,72.62,26.051657816730206,-178.75385325138083
DIS,111.665,93.37449517935826,-19.588330609454385
INTC,41.53,3.8814945575126085,-969.948685606655
CRM,254.255,99.63180892666759,-155.19460375063585
NFLX,1102.5,181.7531170984421,-506.59207258759585
ADBE,359.91,100.53634268263393,-257.9899471140886
PYPL,73.02,47.02226307824837,-55.28814484851473
