ticker,prezzo,valore_graham,sconto
AAPL,265.715,25.651578898773465,-935.8621629045423
MSFT,531.34,118.94881209999534,-346.69634830259974
GOOGL,268.675,79.54817502620661,-237.75130593692046
TSLA,458.1,27.822044317411326,-1546.536087620694
NVDA,191.09,17.9971872802391,-961.7770267347092
JNJ,190.33,87.63529939470739,-117.18417271875576
JPM,303.0848,238.2565927734215,-27.209407501361007
XOM,115.29,98.77574601085026,-16.718936232924733
V,347.605,67.20364108439362,-417.2413196533226
WMT,104.855,25.955786927003388,-303.97542287925376
PG,151.07,58.84493499868956,-156.72557885120315
KO,69.6901,22.215329167041393,-213.70275666854428
PEP,152.01,40.93986687814214,-271.3006699617735
AVGO,361.04,72.08774341037456,-400.83409872425096
LLY,823.74,83.6680382523697,-884.5336608889232
UNH,364.31,233.18902884784268,-56.22947691836505
HD,385.4237,59.522243531305165,-547.5288516255105
MA,572.04,53.8344295038036,-962.5913662920552
